Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers
a7882478-6eeb-43d6-9ee1-141eeba35569,,10CM,10CM,,Misc,N/A,
0a9efd63-c522-4f97-b5c7-b46e672cc824,,>10CM,>10CM,,Misc,N/A,
25aff339-dba4-45be-8462-ce41baeebe5d,,NPC (Near point Convergence)Measurement,NPC (Near point Convergence)Measurement,Assesses the ability of the eyes to converge (move inward) when focusing on a near object,Question,Coded,6CM;7CM;8CM;9CM;10CM;>10CM
a256461a-8530-4f00-b569-67cc54713e0e,,11CM,11CM,,Misc,N/A,
b1b140ce-233a-42ce-a396-541f1b7dbf24,,12CM,12CM,,Misc,N/A,
1a2559f8-329a-4fa7-bae2-f48b134ae54d,,13CM,13CM,,Misc,N/A,
13733bb2-57d4-4b9c-9b89-71b6e51dd9f7,,14CM,14CM,,Misc,N/A,
8cee96b0-d00c-4b6e-b860-8da3199a8ff3,,15CM,15CM,,Misc,N/A,
c8cd5eed-b537-4761-9c1d-42e8d7670fa0,,16CM,16CM,,Misc,N/A,
fcb3effa-3e32-4d63-94b4-c735ba986ef6,,17CM,17CM,,Misc,N/A,
50bfb5af-5a48-4cf0-8477-701531b74b6e,,18CM,18CM,,Misc,N/A,
ccf65a3f-9a88-465a-91f3-8541b5edce2a,,19CM,19CM,,Misc,N/A,
ca0f131a-cae6-4080-a2b8-1897a07bad9d,,20CM,20CM,,Misc,N/A,
da2e7399-02f4-4605-b735-8cec6ca72396,,21CM,21CM,,Misc,N/A,
a81de248-f404-4078-a983-dfda46e2f5c6,,22CM,22CM,,Misc,N/A,
20f73e77-4658-4561-a20f-e23c0044d7e9,,23CM,23CM,,Misc,N/A,
5476426f-cc5c-4a25-83bf-733b38cc8883,,24CM,24CM,,Misc,N/A,
5fdbd12b-2d63-488d-84c7-404daa3363a5,,25CM,25CM,,Misc,N/A,
de9f40fd-6add-4bb1-bdc1-e53368d5e728,,26CM,26CM,,Misc,N/A,
a1100c22-91c9-4668-a28e-41575d3f3863,,27CM,27CM,,Misc,N/A,
09aab57e-9700-4f56-90d6-ddf9c745f319,,28CM,28CM,,Misc,N/A,
74e959e0-8d35-4b44-b81f-f110f35bcb7a,,29CM,29CM,,Misc,N/A,
29af08a1-a26b-445d-b0ff-98026f0236d3,,30CM,30CM,,Misc,N/A,
47e904b3-788c-4bf9-9872-5bbe4810024f,,31CM,31CM,,Misc,N/A,
b80cb6c1-4128-47c4-b046-3cd2eb5da042,,32CM,32CM,,Misc,N/A,
b5bc6d07-3de6-4206-9cd6-e742d0f4ed4c,,33CM,33CM,,Misc,N/A,
3259ab8a-ea51-4e73-83c0-33bd07aac505,,NPC (Near point accommodation)Measurement,NPC (Near point accommodation)Measurement,Measures the eye's ability to focus on a near object,Question,Coded,7CM;8CM;9CM;10CM;11CM;12CM;13CM;14CM;15CM;16CM;17CM;18CM;19CM;20CM;21CM;22CM;23CM;24CM;25CM;26CM;27CM;28CM;29CM;30CM;31CM;32CM;33CM
b175552c-e418-4058-87cb-4c698adbdd30,,Motility Test,Motility Test,Assesses the full range of eye movements in all directions,Question,Text,
dd854172-d6f0-484d-b773-2ee2696b24fe,,Test of Pupillary Function,Test of Pupillary Function,Evaluates the reaction of the pupils to light and accommodation,Question,Text,
07b63754-b2dc-4bd9-b876-eb1f0e6cf1c9,,"Anisocoria, Corneal Light Reflex Test ",Anisocoria,Anisocoria refers to a condition where the pupils of the eyes are of unequal size,Question,Coded,Present;Absent
547efe61-6ff4-4cf5-b340-4f5217e01fe8,,Heterochromia,Heterochromia,Heterochromia is a condition where the irises of the two eyes are of different colors,Question,Coded,Present;Absent
f19ddd13-e562-4f3c-97b7-25aefef6cd75,,Direct light reflex,Direct light reflex,The direct light reflex refers to the constriction of the pupil when light is shone directly into the eye,Question,Coded,Present;Absent
0b2407c2-3616-4f87-b168-4ee52ce8e3ef,,Indirect light reflex,Indirect light reflex,"The indirect light reflex, or consensual light reflex, occurs when shining a light into one eye causes constriction of the pupil in the opposite eye",Question,Coded,Normal;Abnormal
58bcc457-6e88-42e4-8fbc-94da98a2b784,,Swinging flash,Swinging flash,"The swinging flashlight test is used to detect a relative afferent pupillary defect (RAPD), which indicates asymmetry in the afferent pathways of the optic nerve",Question,Coded,Normal;Abnormal
e4890914-4d35-4e8a-a034-c75a36e7b815,,Accommodation and near reflex,Accommodation and near reflex,"The accommodation reflex (or near reflex) involves the pupils constricting, the lenses thickening, and the eyes converging when focusing on a near object",Question,Coded,
778c9b63-425f-4258-b165-cf83198dd3d9,,Stereopsis Test,Stereopsis Test,Assesses depth perception and binocular vision,Question,Text,
836cf17d-24bd-4be2-aa47-db08192652ae,,Titmus stereo test,Titmus stereo test,,Question,Coded,
9c71ae13-ddcd-499e-9ebe-eb238d0e015a,,TNO stereo test,TNO stereo test,,Question,Coded,
3a81064a-ea8a-4829-aa17-e597efa7ac0d,,Lang stereo test,Lang stereo test,,Question,Coded,
0cecb53b-82e1-4785-a7ad-4a6bf9df42ee,,Random Dot,Random Dot,,Question,Coded,
08d49a8d-b682-40bc-85d1-1e9acebae2dc,,Frisby stereo test,Frisby stereo test,,Question,Coded,
2a1593bc-df75-4efe-bec3-fc8bd1667ebe,,"Other, Depth Perception ",Other,,Question,Coded,
22b7d8b9-4d84-48f9-bc83-b80874ab2025,,Worth 4 dot Test,Worth 4 dot Test,Assesses binocular vision and detect suppression or abnormal retinal correspondence,Question,Text,
b5bd8efe-9dfc-4a3d-9e5b-8c883be96ad9,,Amsler grid Test,Amsler grid Test,Detects macular or central visual field defects,Question,Text,
8d3103c3-ac38-4d30-8c29-619ff0eb6823,,Color Vision Test,Color Vision Test,Assesses the ability to perceive colors accurately,Question,Text,
c533c61f-73c5-4186-b9a6-d4b7e69ffd9b,,Gonioscopy Evaluation,Gonioscopy Evaluation,Examines the angle of the anterior chamber of the eye,Question,Text,
e7975f38-8c4e-47f9-850c-e52102dc8be8,,Proptosis Evaluation,Proptosis Evaluation,Measures the forward protrusion of the eye,Question,Text,
84596cd9-44a3-41ef-aaa2-046a9157d949,,Tearfilm Evaluation,Tearfilm Evaluation,Assesses the quality and quantity of the tear film,Question,Text,
ea6fce75-7e9b-4736-8d57-eccd567fca66,,Ptosis Evaluation,Ptosis Evaluation,Assesses the position of the upper eyelid,Question,Coded,
064269ac-7fe7-424b-ac32-b89b5a523477,,Mydriasis,Mydriasis,,Misc,N/A,
62296c4b-8cea-4487-968f-fb5a843d1447,,Pupillary light reflex,Pupillary light reflex,The test assesses pupils reaction to light,Question,Coded,Normal;Anisocoria;Mydriasis
9f1c76ab-33c2-4b3a-8be7-a533411812f1,,Upper eye lid crease,Upper eye lid crease,The position and symmetry of the upper eyelid crease to determine function of levator muscle,Question,Coded,Normal;Absent;High
28ef299e-2164-4477-8ab3-5b556d2969df,,2mm drop,2mm drop,,Misc,N/A,
1d0ac13d-829e-452f-bfc8-d886a6abfa05,,3mm drop,3mm drop,,Misc,N/A,
9de6b9dc-eaa6-4499-b604-fa65fd3b22f1,,4mm drop,4mm drop,,Misc,N/A,
f4529653-64a0-425a-9b06-691d4c4530d8,,Marginal reflex distance,Marginal reflex distance,MRD measures the distance between the corneal light reflex and the margin of the upper eyelid,Question,Coded,Normal;2mm drop;3mm drop;4mm drop
560d9835-be26-4bff-b7f4-d8821b0981bd,,>15mm,>15mm,,Misc,N/A,
2ff44d58-74ba-4e77-8b3c-fb57cc596a39,,12-14mm,12-14mm,,Misc,N/A,
6e3dca2f-253b-4278-bec0-fcadb0599343,,5-11mm,5-11mm,,Misc,N/A,
88c662a4-9a05-4d3e-8c6e-eb681267e301,,<4mm,<4mm,,Misc,N/A,
e78d48c9-685b-4bcf-a099-1966578d150c,,Palpebral Fissure distance,Palpebral Fissure distance,This is the distance between the upper and lower eyelids when the eyes are open,Question,Coded,>15mm;12-14mm;5-11mm;<4mm
9639b9a3-e3b6-40ee-a446-8ceeafb4f571,,Levator function Test,Levator function Test,This test measures the function of the levator muscle by determining the amount of upper eyelid movement from downgaze to upgaze,Question,Coded,>15mm;12-14mm;5-11mm;<4mm
5d4d4228-cf4b-46ad-9ea9-aa1cca1b4bbe,,Extraocular motility,Extraocular motility,This evaluation checks the movement of the eyes in all directions,Question,Coded,Normal;Abnormal
30323f75-28b0-4d74-8ec4-a8dc7af0f61b,,No Rise in MRD,No Rise in MRD,,Misc,N/A,
055d7a1e-fa05-48ac-a41c-d8e05050458e,,Rise in MRD 1.5mm,Rise in MRD 1.5mm,,Misc,N/A,
0d9b3c8a-1d23-4d36-ab87-d3978d3b1fdd,,Phenyl Ephrine Test,Phenyl Ephrine Test,"This test involves instilling phenylephrine drops into the eye to temporarily elevate the eyelid. It helps in diagnosing the type of ptosis and predicting the surgical outcome by assessing the response of the Müller’s muscle, which can contribute to eyelid elevation",Question,Coded,No Rise in MRD;Rise in MRD 1.5mm
cb33eb9e-fe54-49b7-a696-3fef156e774c,,Cover Test Other,Cover Test Other,Any other test that ophthalmologist might perform,Misc,Text,
433f98b8-5e18-4bc0-9a40-5ee12505f6b2,,"Diagnosis, Corneal Light Reflex Test",Diagnosis,The diagnosis made after evaluating the patient,Question,Coded,
4b29f530-c32b-4032-903b-a129344916f6,,Corneal Light Reflex Test,,,Misc,N/A,
e3591ef4-340b-4b87-b232-e405f042dc1a,,Tests of Ocular Motility and Binocular Vision ,,,Misc,N/A,
4077817c-b20b-4f1a-a3a5-c7893ec494ee,,Examination ,,,Misc,N/A,
6abcc83e-7b64-4c77-8cab-fb8e8758ec3b,,Diagnostic and Imaging,Diagnostic and Imaging,Diagnostic or imaging test requested,Question,Coded,
d556a3c3-fcca-4e92-9225-07174b513d46,,Laboratory Investigation,Laboratory Investigation,Laboratory tests requested,Question,Coded,
23cf8627-e679-44c7-b1d6-cde6f847ff82,,"Medication, Treatment plan",Treatment plan,Treatment plan for the patient,Question,Coded,
be203be8-f8a5-4f8b-af97-cdfbdcadd7a5,,"Surgery, Treatment plan",Surgery,Patient scheduled for a surgery procedure,Question,Coded,
aed7c7af-458f-4bdd-8cc7-2b7a838af847,,"Treatment Plan, Investigations",,,Misc,Coded,
47b41c0c-3103-4d00-a603-c1f03500a8be,,Investigations,,,Misc,N/A,
